id_employee,age,revenu_mensuel,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_actuelle,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,augmentation_salaire_precedente,score_evolution_carriere,indice_evolution_salaire,frequence_deplacement,salaire_cat,salaire_cat_eq,position_salaire_poste,position_salaire_poste_anc,score_carriere_cat,indice_evol_cat,statut_marital,domaine_etude,poste_departement,genre,heure_supplementaires,nouveau_responsable,attrition_num
1,41,5993,8,8,6,4,2,3,3,2,4,1,1,0,0,1,2,0,5,11,13.669095060736707,11.000001,Occasionnel,Haut,Bas,Bas,Bas,Moyen,Moyen,Célibataire,Infra & Cloud,Cadre Commercial_Commercial,F,Oui,Non,1
2,49,5130,1,10,10,7,3,4,2,2,2,4,3,1,3,8,1,1,7,23,8.931376959760048,11.5000005,Frequent,Haut,Très bas,Moyen,Moyen,Bas,Moyen,Marié(e),Infra & Cloud,Assistant de Direction_Consulting,M,Non,Non,0
4,37,2090,6,7,0,0,4,3,2,1,3,2,3,0,3,2,2,0,0,15,114.68097313682719,15.000001,Occasionnel,Très bas,Très bas,Très bas,Très bas,Haut,Haut,Célibataire,Autre,Consultant_Consulting,M,Oui,Oui,1
5,33,2909,1,8,8,7,4,3,3,1,3,3,3,0,3,3,4,3,0,11,2.4370833316035907,2.75000025,Frequent,Très bas,Très bas,Haut,Bas,Très bas,Très bas,Marié(e),Infra & Cloud,Assistant de Direction_Consulting,F,Oui,Oui,0
7,27,3468,9,6,2,2,1,3,3,1,2,4,3,1,3,2,1,2,2,12,10.86882976836207,4.000000333333333,Occasionnel,Bas,Très bas,Haut,Haut,Bas,Très bas,Marié(e),Transformation Digitale,Consultant_Consulting,M,Non,Non,0
8,32,3068,0,8,7,7,4,3,3,1,4,3,2,0,2,2,2,3,6,13,3.261824991848863,3.25000025,Frequent,Bas,Très bas,Haut,Bas,Très bas,Très bas,Célibataire,Infra & Cloud,Consultant_Consulting,M,Non,Non,0
10,59,2670,4,12,1,0,3,4,4,1,1,1,2,3,3,3,3,0,0,20,78.90208607620372,20.000001,Occasionnel,Très bas,Très bas,Bas,Haut,Haut,Haut,Marié(e),Transformation Digitale,Consultant_Consulting,F,Oui,Oui,0
11,30,2693,1,1,1,0,4,4,3,1,3,2,3,1,2,24,1,0,0,22,86.88660987606458,22.000001,Occasionnel,Très bas,Très bas,Bas,Haut,Haut,Haut,Divorcé(e),Infra & Cloud,Consultant_Consulting,M,Non,Oui,0
12,38,9526,0,10,9,7,4,4,2,3,3,2,3,0,2,23,3,1,8,21,9.619979867386377,10.5000005,Frequent,Moyen,Bas,Haut,Haut,Bas,Moyen,Célibataire,Infra & Cloud,Tech Lead_Consulting,M,Non,Non,0
13,36,5237,6,17,7,7,3,3,3,2,3,2,2,2,3,27,3,7,7,13,1.7395006857746025,1.625000125,Occasionnel,Haut,Très bas,Très bas,Très bas,Très bas,Très bas,Marié(e),Transformation Digitale,Manager_Consulting,M,Non,Non,0
14,35,2426,0,6,5,4,1,3,4,1,2,3,3,1,5,16,3,0,3,13,16.887892244809503,13.000001,Occasionnel,Très bas,Très bas,Bas,Très bas,Moyen,Moyen,Marié(e),Transformation Digitale,Consultant_Consulting,M,Non,Non,0
15,29,4193,0,10,9,5,4,3,2,2,3,4,3,0,3,15,2,0,8,12,10.00969308789526,12.000001,Occasionnel,Bas,Très bas,Moyen,Moyen,Bas,Moyen,Célibataire,Infra & Cloud,Consultant_Consulting,F,Oui,Non,0
16,31,2911,1,5,5,2,1,3,3,1,3,4,2,1,1,26,1,4,3,17,4.5200709978325735,3.4000002,Occasionnel,Bas,Très bas,Haut,Haut,Bas,Très bas,Divorcé(e),Infra & Cloud,Assistant de Direction_Consulting,M,Non,Non,0
18,34,2661,0,3,2,2,2,3,3,1,4,3,3,1,2,19,2,1,2,11,14.459195145889767,5.5000005,Occasionnel,Très bas,Très bas,Bas,Bas,Moyen,Bas,Divorcé(e),Transformation Digitale,Consultant_Consulting,M,Non,Non,0
19,28,2028,5,6,4,2,3,3,2,1,3,2,3,0,4,24,3,0,3,14,21.322836874571948,14.000001,Occasionnel,Très bas,Très bas,Très bas,Très bas,Moyen,Haut,Célibataire,Infra & Cloud,Consultant_Consulting,M,Oui,Non,1
20,29,9980,1,10,10,9,2,3,4,3,1,3,3,1,1,21,4,8,8,11,1.0231599335352628,1.2222223333333333,Occasionnel,Moyen,Bas,Moyen,Moyen,Très bas,Très bas,Divorcé(e),Infra & Cloud,Tech Lead_Consulting,F,Non,Non,0
21,32,3298,0,7,6,2,1,3,4,1,2,4,2,2,5,5,2,0,5,12,13.88807202230252,12.000001,Occasionnel,Bas,Très bas,Haut,Haut,Moyen,Moyen,Divorcé(e),Infra & Cloud,Assistant de Direction_Consulting,M,Oui,Non,0
22,22,2935,1,1,1,0,4,3,4,1,4,2,2,2,2,16,2,0,0,13,51.90122602567533,13.000001,Aucun,Bas,Très bas,Haut,Haut,Haut,Moyen,Divorcé(e),Transformation Digitale,Consultant_Consulting,M,Oui,Oui,0
23,53,15427,2,31,25,8,1,3,2,4,4,3,3,0,3,2,4,3,7,16,1.483683064934512,4.00000025,Occasionnel,Moyen,Haut,Très bas,Très bas,Très bas,Très bas,Marié(e),Infra & Cloud,Senior Manager_Commercial,F,Non,Non,0
24,38,3944,5,6,3,2,4,3,3,1,4,3,3,0,3,2,3,1,2,11,11.385281855785493,5.5000005,Occasionnel,Bas,Très bas,Moyen,Moyen,Bas,Bas,Célibataire,Infra & Cloud,Assistant de Direction_Consulting,M,Oui,Non,0
26,24,4011,0,5,4,2,1,3,4,2,3,4,2,1,5,11,2,1,3,18,14.934682098051804,9.0000005,Aucun,Bas,Très bas,Très bas,Très bas,Moyen,Moyen,Divorcé(e),Autre,Tech Lead_Consulting,F,Non,Non,0
27,36,3407,7,10,5,3,3,4,2,1,1,2,3,0,4,9,4,0,3,23,31.179878092785444,23.000001,Occasionnel,Bas,Très bas,Moyen,Moyen,Haut,Haut,Célibataire,Infra & Cloud,Représentant Commercial_Commercial,M,Non,Non,1
28,34,11994,0,13,12,6,1,3,3,3,2,3,3,0,4,7,4,2,11,11,2.6490950338527415,3.666667,Occasionnel,Moyen,Moyen,Très bas,Très bas,Très bas,Très bas,Célibataire,Infra & Cloud,Directeur Technique_Consulting,F,Non,Non,0
30,21,1232,1,0,0,0,3,3,3,1,4,4,3,0,6,15,2,0,0,14,99.64088416150632,14.000001,Occasionnel,Très bas,Très bas,Très bas,Très bas,Haut,Haut,Célibataire,Infra & Cloud,Assistant de Direction_Consulting,M,Non,Oui,0
31,34,2960,2,8,4,2,2,3,3,1,1,3,3,0,2,6,1,1,3,11,8.792611360239983,5.5000005,Occasionnel,Bas,Très bas,Haut,Haut,Bas,Bas,Célibataire,Transformation Digitale,Assistant de Direction_Consulting,M,Non,Non,1
32,53,19094,4,26,14,13,3,3,3,5,3,4,2,1,3,5,3,4,8,11,1.4457201287125012,2.2000002,Occasionnel,Moyen,Haut,Haut,Haut,Très bas,Très bas,Divorcé(e),Autre,Senior Manager_Consulting,F,Non,Non,0
33,32,3919,1,10,10,2,2,4,1,1,1,2,3,0,5,16,1,6,7,22,2.363956373962417,3.142857285714286,Frequent,Bas,Très bas,Moyen,Moyen,Très bas,Très bas,Célibataire,Infra & Cloud,Assistant de Direction_Consulting,F,Oui,Non,1
35,42,6825,0,10,9,7,3,3,3,2,2,4,3,1,2,8,4,4,2,11,1.9422688850525458,2.2000002,Occasionnel,Haut,Bas,Haut,Haut,Très bas,Très bas,Marié(e),Marketing,Cadre Commercial_Commercial,M,Non,Non,0
36,44,10248,3,24,22,6,1,3,2,3,4,4,3,1,4,7,4,5,17,14,0.9368775731780963,2.3333334999999997,Occasionnel,Moyen,Bas,Moyen,Haut,Très bas,Très bas,Marié(e),Transformation Digitale,Manager_Consulting,F,Non,Non,0
38,46,18947,3,22,2,2,2,3,3,5,1,4,2,0,2,2,4,2,1,12,13.132605979775263,4.000000333333333,Occasionnel,Moyen,Haut,Moyen,Moyen,Moyen,Très bas,Célibataire,Marketing,Senior Manager_Commercial,F,Non,Non,0
39,33,2496,4,7,1,1,3,3,3,1,4,4,3,0,3,2,3,0,0,11,43.025653007961395,11.000001,Occasionnel,Très bas,Très bas,Bas,Haut,Haut,Moyen,Célibataire,Transformation Digitale,Consultant_Consulting,M,Non,Oui,0
40,44,6465,2,9,4,2,4,3,3,2,4,4,4,0,5,10,4,1,3,13,11.406607723202288,6.5000005,Occasionnel,Haut,Bas,Bas,Haut,Bas,Bas,Marié(e),Autre,Manager_Consulting,M,Oui,Non,0
